text,comment_category,final_subjectivity_label,aspect_input,pipeline,roberta_sentiment,roberta_confidence,deberta_base_sentiment,deberta_base_confidence,deberta_base_finetuned_sentiment,deberta_base_finetuned_confidence,deberta_large_sentiment,deberta_large_confidence,deberta_models_agree,final_base_sentiment,final_base_confidence,final_finetuned_sentiment,final_finetuned_confidence,final_large_sentiment,final_large_confidence
I wanted to cover the Pixel 10 but I felt like Google compromise too much for my liking. Maybe Pixel 11 would be better. But I love the color choices.,overall,Subjective,overall,overall,positive,0.6544,N/A,,N/A,,N/A,,,positive,0.6544,positive,0.6544,positive,0.6544
"Your Geekbench results are surprisingly low, on my Pixel 10, I'm around 2300/5900. Perhaps an update or a problem with your device",overall,Subjective,overall,overall,negative,0.8773,N/A,,N/A,,N/A,,,negative,0.8773,negative,0.8773,negative,0.8773
Look I understand how important specs maybe to you guys. But I bought the pixel 10 XL after being a long time Samsung user. I watched other YouTubers trying to use the new iPhone 17pro Max to embarrass the Pixel and it hasn't worked out that way so far. If I was going to text a product I would use real world performance. This thing is flawless. And I am a long time Samsung user. Everyone copies Google's tech and I see why. It's not perfect but it's close. I'm surprised because I try and find every excuse to go back to Samsung. 😢but I haven't found one yet.,overall,Subjective,overall,overall,neutral,0.4636,N/A,,N/A,,N/A,,,neutral,0.4636,neutral,0.4636,neutral,0.4636
There should not any comparison between Pixel 10 and iPhone 17. IPhone is miles ahead. You better compare Pixel 10 to iPhone 16e or iPhone 15! 😅,overall,Subjective,overall,overall,positive,0.5622,N/A,,N/A,,N/A,,,positive,0.5622,positive,0.5622,positive,0.5622
"In markets not limited to Google/Apple/Samsung (GAS), the competition from China has meant a far better value proposition. The new Snapdragon chips are in phones at lower prices than the 3 brands (GAS), more storage , good camera etc The next few months should see some great new models released. I suspect the Chinese firms see a huge market opportunity to gain market share on GAS. The Pixel has all the AI but I would love to see a survey of 'who uses what' as talking to owners not all features are used. The P10 feels overpriced to me.",overall,Subjective,overall,overall,positive,0.9036,N/A,,N/A,,N/A,,,positive,0.9036,positive,0.9036,positive,0.9036
i would actually argue that the pixel 10 has worse cameras than pixel 9. both main and ultrawide sensors were downgraded pretty significantly.,overall,Subjective,overall,overall,negative,0.9341,N/A,,N/A,,N/A,,,negative,0.9341,negative,0.9341,negative,0.9341
Guilty! I need a new phone and I have been going around in circles when I should probably just buy a Pixel 10.,overall,Subjective,overall,overall,neutral,0.43,N/A,,N/A,,N/A,,,neutral,0.43,neutral,0.43,neutral,0.43
The phone is to expensive.... The pixel 10 pro XL at 1200 is crazy when you can buy a one plus 13 512gb for 650\700 The pixel XL 256gb should be between 600\700 pounds and then it would be a good buy,overall,Subjective,overall,overall,negative,0.5486,N/A,,N/A,,N/A,,,negative,0.5486,negative,0.5486,negative,0.5486
I feel like Google has ripped everyone off considering the pixel 10/pro aren't that much of an upgrade. I was completely fine with my pixel 8a because I'm not getting much in return from the 10pro. Seems like iPhone 17 might be a better jump,overall,Subjective,overall,overall,negative,0.7654,N/A,,N/A,,N/A,,,negative,0.7654,negative,0.7654,negative,0.7654
I get a new phone every year. But I'm planning on keeping the Pixel 10 for atleast 2 years. So I'm not worried about battery longevity just give me 100watt fast charging and silicon carbon battery 😂. I would go for a Chinese phone if their software wasn't crap.,overall,Subjective,overall,overall,positive,0.6099,N/A,,N/A,,N/A,,,positive,0.6099,positive,0.6099,positive,0.6099
"I have the Z Fold 7 and like it but don't love it and was thinking of changing to the Google Pixel 10 Pro XL, I have always been a Galaxy user mainly S Ultra series, would this be a good move a a big step backwards? I like what I see keen for options.",overall,Subjective,overall,overall,negative,0.4706,N/A,,N/A,,N/A,,,negative,0.4706,negative,0.4706,negative,0.4706
"@monikab.5354 A co chcesz dokładnie wiedzieć? Zdjęcia mimo nowego obiektywu są gorszej jakości, jeśli nie kupisz wariantu XL to będziesz miała odczucie że telefon 2 generacje niżej był dużo lepszy, największą różnice widzisz gdy robisz zdjęcia na przybliżeniu 10-30x i to księżyca, jak jeszcze Pixel 8 pro sobie radził z tym powiedzmy w miarę znośnie, tak pixel 10 pro mimo ogromnej pomocy AI, nie potrafi wygenerować dobrej tekstury księżyca. Wschody i zachody słońca na zoomie większym niż 5x, są rozmazane, obiektyw nie radzi sobie ze światłem które dostaje, no jest totalnie do dupy, gdyby nie fakt że Huawei Pura 70 ultra mi się bardzo wieszał, to został bym przy nim bo aparat miał prze kozacki. ^^",overall,Subjective,overall,overall,neutral,0.8271,N/A,,N/A,,N/A,,,neutral,0.8271,neutral,0.8271,neutral,0.8271
@mrmobile what do you recommend between samsung s25 vs pixel 10?,overall,Subjective,overall,overall,neutral,0.9045,N/A,,N/A,,N/A,,,neutral,0.9045,neutral,0.9045,neutral,0.9045
​@aiwwakk7152how's the phone. Is it better than pixel 10/ 10 pro,overall,Subjective,overall,overall,positive,0.5356,N/A,,N/A,,N/A,,,positive,0.5356,positive,0.5356,positive,0.5356
😮 that's bull. I have a Google pixel 10 pro XL and currently my battery is at 58 percent it will probably be needing a charge by 8 or 9 maybe,overall,Subjective,overall,overall,neutral,0.4913,N/A,,N/A,,N/A,,,neutral,0.4913,neutral,0.4913,neutral,0.4913
"I read many complaints about the battery being worse than last years pixel 9. The phone gets hot, freezes, restarts, etc. The processor shouldn't have problems. It's made by a different company that's supposed to be better than Samsung.",overall,Subjective,overall,overall,negative,0.8997,N/A,,N/A,,N/A,,,negative,0.8997,negative,0.8997,negative,0.8997
"I hate that Googles strategy with the Pixel is to sell a flagship-priced thin client, except you have to pay for all the AI etc, and it has zero hardware benefits compared to the competition. We are in a generation where APPLE is selling the most value for money, we should not be seeing this and its worrying me.",overall,Subjective,overall,overall,negative,0.8698,N/A,,N/A,,N/A,,,negative,0.8698,negative,0.8698,negative,0.8698
"@iamsuperduper2410 old camera technology? the Pixel 9 pro had a better camera than the S25 Ultra 😂 The Pixel 10 pro is way ahead. You’re talking about technologies you dont understand. S25 ultras need more processing power because they don’t own the software. It’s not on the phone. Everything runs via virtual machines. So a Samsung is taking 2-3 as many steps to do the same task. That’s why it’s running on 12 gig of RAM and snapdragon 8 elite, and still barely beats out phones using way less",overall,Subjective,overall,overall,negative,0.5083,N/A,,N/A,,N/A,,,negative,0.5083,negative,0.5083,negative,0.5083
Comments are crazy 🤣 I even have the Charging Optimization on and still get great longevity Better than Samsung and iPhone I have a lot of apps I need for work and I notice that the pixel is really good with controlling battery usage on certains apps. Good software so far with the pixel 10 pro XL I like it 🎉,overall,Subjective,overall,overall,positive,0.9612,N/A,,N/A,,N/A,,,positive,0.9612,positive,0.9612,positive,0.9612
"Very good review, I think the pixel 10 pro is good for person for avg use , everyday multitasking, the camera is one the best spot and shoot , I like the software better on Google pixel 10 , Samsung is too busy, if want a powerful phone, for games and shooting vedio the Samsung is way too go, I like the display and I think it's smoother while scrolling.",overall,Subjective,overall,overall,positive,0.9611,N/A,,N/A,,N/A,,,positive,0.9611,positive,0.9611,positive,0.9611
"My intro to their phones was the Pixel 3 XL, then about 3 years later or so I upgraded to the Pixel 6 Pro, and I recently purchased the Pixel 10 Pro and I like it. It can be a slow at times from touches, but the battery lasts, and it has good features overall so far.",overall,Subjective,overall,overall,positive,0.9613,N/A,,N/A,,N/A,,,positive,0.9613,positive,0.9613,positive,0.9613
You got a new subscriber. By far one of the best photographers to review a phones camera I've ever seen. Loving my pixel 10 pro xl but you just hit everything right on the head with the ai processing.,overall,Subjective,overall,overall,positive,0.977,N/A,,N/A,,N/A,,,positive,0.977,positive,0.977,positive,0.977
"I have a Google Pixel 10 Pro. I love it (except maybe the feeling of the glossy rails) but I can't disagree with everything you said: the base Pixel 10 is a better value and besides the Pixels, there are plenty of good values elsewhere. Thanks for this video 👍",overall,Subjective,overall,overall,positive,0.9457,N/A,,N/A,,N/A,,,positive,0.9457,positive,0.9457,positive,0.9457
My pixel 10 pro XL has intermittent Wi-Fi issues and screen tearing when I play games. The GPU is a dog. And poorly supported because it's an old VR chip. I tried everything to get the Wi-Fi to work but intermittent cut for a few minutes at a time is unbelievable. These are good reasons not to buy the phone. This guy's so Petty talking about the rails,overall,Subjective,overall,overall,negative,0.933,N/A,,N/A,,N/A,,,negative,0.933,negative,0.933,negative,0.933
"Trust me, I used to be a massive Google hater—Pixel Fold dropped and that thing felt like a beta test I paid full price for. Worst phone experience of my life. But the 9 series dragged me back in, and now the Pixel 10 Pro XL? Yeah… Google finally cooked something 🔥. Is it the strongest phone on the planet? Nope. But the features hit so hard I can’t even pretend to walk away. Airdrop-style sharing came in clutch, MagSafe adoption was a genius move, and honestly I love when manufacturers aren’t afraid to steal the good stuff. That’s what keeps competition alive. So yeah… Pixel 10 Pro XL gets a solid thumbs-up from me. Google finally stopped tripping. 👀🔥",overall,Subjective,overall,overall,positive,0.581,N/A,,N/A,,N/A,,,positive,0.581,positive,0.581,positive,0.581
I just got my pixel 10 Pro on Sunday and I love it! I got an iPhone air last September and regretted it immediately... So I was going to wait for the 11 to come out later this year but decided I couldn't wait anymore and just decided to take a 10 now rather than suffering with an Air for another 5-6 months!😂,overall,Subjective,overall,overall,positive,0.8367,N/A,,N/A,,N/A,,,positive,0.8367,positive,0.8367,positive,0.8367
"Had the pixel 10 pro XL for about a week now - got it as a secondary work phone with my main being the iPhone 17 pro max. I agree with everything you mentioned here about why not to get the phone. From the camera, to the screen jitters to even the feel - this phone is missing a ""wow"" factor for me especially for the price. I ordered the s25 ultra in exchange for this phone, will be arriving in a few hours. Happy to get rid of this phone",overall,Subjective,overall,overall,neutral,0.4756,N/A,,N/A,,N/A,,,neutral,0.4756,neutral,0.4756,neutral,0.4756
Too late 😂😂😂 I actually love my Pixel 10 Pro XL. It's easily the smoother phone in the history. And trust me I tried all phones. ALL OF THEM. Google Pixel is the best.,overall,Subjective,overall,overall,positive,0.9817,N/A,,N/A,,N/A,,,positive,0.9817,positive,0.9817,positive,0.9817
"Overall, it’s a great phone. For Apple users like me who want a smooth, hassle-free transition to Android, the Pixel 10 Pro is an amazing game changer.",overall,Subjective,overall,overall,positive,0.9863,N/A,,N/A,,N/A,,,positive,0.9863,positive,0.9863,positive,0.9863
"Guys you don't know me I don't know you but here is my two cents Avoid the pixel 10 xl like the plague It's noticable slower, it feels like a crappy midranger I came from iPhone 15 pro max and i believe even the 14 pro max is far far far better than the Google Pixel 10 pro XL I can't speak for the s26 Peace ✌️",overall,Subjective,overall,overall,negative,0.6695,N/A,,N/A,,N/A,,,negative,0.6695,negative,0.6695,negative,0.6695
As someone who went from Samsung to Pixel 10 PRO XL I cannot tell you how much I am waiting for UPS tomorrow to bring me my 26 Ultra. There are far too many compromises with a Pixel that I took for granted with Samsung. major Bluetooth compromises. I hate the suggestions of the Pixel. I do not need a phone to tell who it thinks I should call,overall,Subjective,overall,overall,negative,0.799,N/A,,N/A,,N/A,,,negative,0.799,negative,0.799,negative,0.799
"AGREED, I've had my pixel 10 pro for a little over a month and I absolutely love it, I'm a moderate power user and it gets the job done, it's snappy, I can survive on one single full charge a day with a comfortable amount of power left over around 9pm. Able to play pubG mobile on it just fine, the screen is absolutely beautiful, and the fingerprint scanner is super snappy. This dude is just spewing bs and is biased.",overall,Subjective,overall,overall,positive,0.9608,N/A,,N/A,,N/A,,,positive,0.9608,positive,0.9608,positive,0.9608
"been using Pixel 10 pro for last 3 months now, and i second every thing. I have always been fan of pixel phone but 10 pro is the worst of them all. Get Samsung s25 instead even base model beats pixel 10 pro.",overall,Subjective,overall,overall,negative,0.7245,N/A,,N/A,,N/A,,,negative,0.7245,negative,0.7245,negative,0.7245
"I had an s23 ultra, and when it shattered, my friend offered to buy me a new phone of my choice for christmas, My first pick was the galaxy s25 ultra, however they where out of those and i didnt want the 24 as it is just a bit older I wanted as current as i could get, so i went with the pixel 10 pro XL ill be getting it today and im quite excited to test it out.",overall,Subjective,overall,overall,neutral,0.4659,N/A,,N/A,,N/A,,,neutral,0.4659,neutral,0.4659,neutral,0.4659
"The fact that performance of that phone is mid-tier AT BEST, while charging top dollars just proves why people, who wish to get an Android, go for Samsung instead of Google. Not every person cares about AI. Google needs to realise this. Not every guy wants those AI text summarisation, or image generation or stuff like that. People want their apps to load fast, camera to work without lag and an all-day battery life when paying top dollars for a phone, none of which work when buying a Pixel phone.",overall,Subjective,overall,overall,negative,0.6192,N/A,,N/A,,N/A,,,negative,0.6192,negative,0.6192,negative,0.6192
I upgraded to the Pixel 10 Pro XL from my S24 Ultra and the Pixel is so much better in almost every way it's crazy. Specs aren't everything 🤷 but if you're happy with the Samsung that's great!,overall,Subjective,overall,overall,positive,0.9645,N/A,,N/A,,N/A,,,positive,0.9645,positive,0.9645,positive,0.9645
"Having seen this I thought that you must be paid from Apple or any other smartphone OEM…I do have the Pixel 10 pro XL. Your arguments whether are very subjective (glossy rails) or things that cannot be experienced from a regular user (software lags, at least right now when this video is released). That is at least my review of this review (video)…🤔",overall,Subjective,overall,overall,neutral,0.5529,N/A,,N/A,,N/A,,,neutral,0.5529,neutral,0.5529,neutral,0.5529
"Damn, I just looked back at my Pixel 2 XL pics and you're right, much closer to my Olympus M4/3rds shots at the time. I want Google to use Nano Banana to give me easy style transfer from any given image to my raw Pixel 10 Pro XL shots. Give me a photo I'd swear was taken with a Leica Q3 43 - now give me the photo with the colour character of an Olympus E-1 with 50MP resolution.",overall,Subjective,overall,overall,neutral,0.4994,N/A,,N/A,,N/A,,,neutral,0.4994,neutral,0.4994,neutral,0.4994
"My biggest issue with the pixel 10 pro is the Fingerprint scanner, it's just unreliable. The phone does chug if you open Netflix video and pull the notification. Im not worried about gaming, but the cpu isnt up to standard for the price tag.",overall,Subjective,overall,overall,negative,0.9142,N/A,,N/A,,N/A,,,negative,0.9142,negative,0.9142,negative,0.9142
"Just upgraded from my Pixel 8 Pro (previously owning a Pixel 6 Pro and Pixel 3 XL) to a Pixel 10 Pro (not XL). Free upgrade from Verizon, so cost was a no-brainer. Also, I genuinely do not understand why anybody cares about the exterior design of a phone, literally everyone I know uses some sort of case.",overall,Subjective,overall,overall,positive,0.7913,N/A,,N/A,,N/A,,,positive,0.7913,positive,0.7913,positive,0.7913
Not sure what all this is talking about but I bought a 6a about 3 years ago and just upgraded to 10 pro and love it. If you like your phone don't change it. I will say I have kepty 6a and still use it and the 6a still gets upgrades but the Pixel 10 pro is so much better.,overall,Subjective,overall,overall,positive,0.9076,N/A,,N/A,,N/A,,,positive,0.9076,positive,0.9076,positive,0.9076
"I guess I'm getting a bit of buyers remorse now since I ordered a pixel 10 pro the other day to replace my pixel 6a. The black friday sale for $750 seemed good enough and I wanted to get the ""nicer"" model but I guess I would've been fine with the regular pixel 10. Ah well, if I can get the phone to last to around 2030 I'll be happy so as long as it holds up I'll be satisfied. Unfortunate that the pro features aren't really all that special",overall,Subjective,overall,overall,negative,0.5547,N/A,,N/A,,N/A,,,negative,0.5547,negative,0.5547,negative,0.5547
"I own several flagship Phones 📱 like Samsung S25 Ultra,Samsung Z Fold7,Apple IPhone 17P Max and The Google Pixel 10P XL.None of them are Perfect they all have something that u gonna dislike but at least in my Opinion I will choose the Google Pixel 10PXL. It’s my main phone from all of them. battery is very good at least for me. Also it has a clean UI can’t complain like I said before. It’s my main device from all of them that I own.",overall,Subjective,overall,overall,positive,0.7337,N/A,,N/A,,N/A,,,positive,0.7337,positive,0.7337,positive,0.7337
"@lenixxq You're returning a phone you've barely unboxed because a heavily biased guy in a random video said so? My man, at least test the device yourself. Everybody has different preferences. I prefer my Pixel to my previous iPhone 15 Pro Max, which Apple absolutely murdered with iOS 26. And that iPhone technically has a more powerful SoC, but it doesn't translate to real world usage Numbers on paper just don't matter anymore and this guy plainly HATES the new Pixels just because it has glossy frame and on paper weaker SoC. What a clown.",overall,Subjective,overall,overall,negative,0.7194,N/A,,N/A,,N/A,,,negative,0.7194,negative,0.7194,negative,0.7194
You would be silly to get the s26 ultra. Pixel 10 Pro XL is so much better,overall,Subjective,overall,overall,positive,0.5353,N/A,,N/A,,N/A,,,positive,0.5353,positive,0.5353,positive,0.5353
I buy a new Ultra phone every year. Switching to Pixel this year for the first time. Samsung cameras really are falling behind. Bought a 17 Pro max and am giving it to my wife. Found the pictures to be overexposed in lower light (not dark) scenarios. Since i live in a place where it rains 6 months of the year that is an issue. There are lots of reasons to says this phone isn't the best particularly battery and processor but on balance its a great device for most people.,overall,Subjective,overall,overall,negative,0.4431,N/A,,N/A,,N/A,,,negative,0.4431,negative,0.4431,negative,0.4431
"Sam, as much as you might hate giving a critical review. It's needed for those if us who are considering buying a pixel. Your review was spot on. This is an overpriced phone. If Apple can make their own on house chip thrive, pixel should be able too as well.",overall,Subjective,overall,overall,negative,0.4312,N/A,,N/A,,N/A,,,negative,0.4312,negative,0.4312,negative,0.4312
I love my pixel 10 pro and I will stick with it for years I bought it first day,overall,Subjective,overall,overall,positive,0.9894,N/A,,N/A,,N/A,,,positive,0.9894,positive,0.9894,positive,0.9894
"why would anyone upgrade from an S25 to an Pixel 10 Pro,? 🤣 the s25 is not even 1 year old",overall,Subjective,overall,overall,negative,0.7018,N/A,,N/A,,N/A,,,negative,0.7018,negative,0.7018,negative,0.7018
"Agree, I am not interested in AI messing with my photos. I did get the Pixel 10 pro, but mostly because the Pixel 9 I had was failing after a year and I wanted more storage space. What the heck, I will try to get the most out of it.",overall,Subjective,overall,overall,negative,0.7532,N/A,,N/A,,N/A,,,negative,0.7532,negative,0.7532,negative,0.7532
"Yeah it's really weird because if you love the pixel 9 Pro the pixel 10 Pro is very similar but better... So to go from praise and one and absolutely despising the other doesn't really make sense, I can understand if he left it at 'It feels very similar to last year's""",overall,Subjective,overall,overall,negative,0.6088,N/A,,N/A,,N/A,,,negative,0.6088,negative,0.6088,negative,0.6088
"Processing in the cloud is more powerful then on device processing. More devices will be doing it soon.If you use Black magic and some other 3rd party apps it allows 12 bit DCG recording on pixel 10 devices. Google camera app keeps it simple for average users. The 10 bit footage looks good as well. Every camera brand moving forward is using AI, Sony, Canon etc.",overall,Subjective,overall,overall,positive,0.8863,N/A,,N/A,,N/A,,,positive,0.8863,positive,0.8863,positive,0.8863
"@whyhaveaname5963 but I didn't mention I phone anywhere here but since you brushed that topic the I Phone 17 pro looks ugly but it has a better camera system this time around and also much better battery life than whatever Google calls it ,and yeah it has a better chipset for better performance in a lot of tasks which google doesn't even seem to care about",overall,Subjective,overall,overall,neutral,0.3871,N/A,,N/A,,N/A,,,neutral,0.3871,neutral,0.3871,neutral,0.3871
"Anyone that hates on this phone is just an iPhone fan boy, even though iPhone keeps copying pixel you fan boys will never get it. Just stop bro I've had my Google Pixel 10 pro xl from the day it came out and it's been perfect I have no negative things to say and I normally like Samsung phones. But this year it's going to be pixel phones. So sorry bro your fake your just saying what your paid to say 😂😭🤦😒",overall,Subjective,overall,overall,negative,0.582,N/A,,N/A,,N/A,,,negative,0.582,negative,0.582,negative,0.582
"The pixel 10 pro is weirdly getting a lot of those free line / discounted phone things this season though. Depending on trade in and etc, you can get this phone at 300-400, suddenly the midrange chipset ""makes sense"".",overall,Subjective,overall,overall,neutral,0.6118,N/A,,N/A,,N/A,,,neutral,0.6118,neutral,0.6118,neutral,0.6118
Detailed and honest review 👌 Loved how you explained both the strengths and weaknesses of the Pixel 10 Pro. Very helpful for deciding on the phone! 🔥📱,overall,Subjective,overall,overall,positive,0.9746,N/A,,N/A,,N/A,,,positive,0.9746,positive,0.9746,positive,0.9746
"People talk about drinking the Google juice when you been on the Apple crack for several years and continue to accept lower than expected standards! Smh the phone is a great phone. And so is the s25 ultra, there's been phones better than iPhones years.",overall,Subjective,overall,overall,positive,0.511,N/A,,N/A,,N/A,,,positive,0.511,positive,0.511,positive,0.511
"im still using the 6 pro which is a great phone . Its 3 years later . I thought the 10 pro would be better with its camera as that was the main feature. Why it was named pixel. The price of the 10 puts me off upgrading yet, I will maybe keep rocking the 6 until the 12 is out ha ha",overall,Subjective,overall,overall,positive,0.8942,N/A,,N/A,,N/A,,,positive,0.8942,positive,0.8942,positive,0.8942
"I love my Pixel 10 Pro, but you're right about the side rails.",overall,Subjective,overall,overall,positive,0.935,N/A,,N/A,,N/A,,,positive,0.935,positive,0.935,positive,0.935
"After 12 or so years of iphone i switched to the xiaomi 15. Display, camera, graphics, performance... everything top notch. It's actually quite amazing. It's also funny to me how HyperOS seemed to mimic a lot of haptic features and navigation from iOS, which was welcoming to me. That said, the phone is bloated with trash apps (a lot of them that you can't even uninstall) and ads. Yes, ads in a 1000 € phone lmao. You can turn them off but it's a hassle and requires a lot of looking up video guides.",overall,Subjective,overall,overall,positive,0.9326,N/A,,N/A,,N/A,,,positive,0.9326,positive,0.9326,positive,0.9326
Bhi Please Help me! Xiaomi 15 vs Xiaomi 14 Ultra Regular use like 1-2h(Normal Gaming like FreeFire) and Good Camera For photography (Not Professional) Which should I go for?,overall,Subjective,overall,overall,neutral,0.5316,N/A,,N/A,,N/A,,,neutral,0.5316,neutral,0.5316,neutral,0.5316
Bhaiya please help should I buy xiaomi 15 now or wait for any another phone because I need camera quality phone DSLR like pictures budget is 50k and many people are saying that after update 16 the battery is draining a bit fast in xiaomi 15 what's its battery backup in a day any suggestion please,overall,Subjective,overall,overall,neutral,0.5836,N/A,,N/A,,N/A,,,neutral,0.5836,neutral,0.5836,neutral,0.5836
"I loved the feel of Xiaomi 15 on my hand. Unfortunately they don't have any phone display that I can test only dummy phones or you have to buy first so you can test. I didn't like the freebies although they were good, but I didn't need them - a printer and a set of tumbler, cups, pens etc. - After going back and forth with the reviews. I settled with Oppo Find x8 and I'm so happy. 💗💗💗 Love android phones.",overall,Subjective,overall,overall,positive,0.6817,N/A,,N/A,,N/A,,,positive,0.6817,positive,0.6817,positive,0.6817
"I'm using Youtube alll the time on Xiaomi 15 , especially because i have youtube premium and then use it on background on purpose. 0 heating issue. Worth to mention that phone clearly overheated for 1st days ( i would say 1st 1-2 weeks) , no overheating since then, i've been using it for almost a year (EU global version)",overall,Subjective,overall,overall,positive,0.8741,N/A,,N/A,,N/A,,,positive,0.8741,positive,0.8741,positive,0.8741
"Xiaomi 15 : battery drain even in standby mode. photos in low light too soft with overly colors, zoom x2 & x5 useless because very bad and native 2.6 very bad in night mode with bad focus and smoothing out excessive defects, the 3,2 of the Xiaomi 14 is much better. Honestly, the Galaxy S25 performs almost better especially in photographie",overall,Subjective,overall,overall,negative,0.6738,N/A,,N/A,,N/A,,,negative,0.6738,negative,0.6738,negative,0.6738
"Sir, I also bought Xiaomi 15 after seeing your review. It is a very good phone. But please tell me the screen protector. I applied it but the fingerprint is not working. And tell me the cooler that you use for gaming. please sir I watch all your videos but please tell me what you have put on the back of the phone, it would be very helpful. 19:52",overall,Subjective,overall,overall,positive,0.662,N/A,,N/A,,N/A,,,positive,0.662,positive,0.662,positive,0.662
"Thank you, the video is very detailed, but my question is which battery is better, Xiaomi 15 or Ultra 24?❤",overall,Subjective,overall,overall,positive,0.9475,N/A,,N/A,,N/A,,,positive,0.9475,positive,0.9475,positive,0.9475
I got X15 for the same price overall great hardware but Xiaomi really lack regular software updates compared to OnePlus Since I moved from OnePlus 12 to Xiaomi 15 OnePlus is very focused when it comes to their software user experience. I really miss the OnePlus dialer/O dailer and its fantastic call recording facility If hyper OS 3 is not going to ditch google dailer i will have to move to One plus 15 back though I liked the Xiaomi 15 hardware and compact size,overall,Subjective,overall,overall,positive,0.3861,N/A,,N/A,,N/A,,,positive,0.3861,positive,0.3861,positive,0.3861
"Upgraded from the Xiaomi 14 to the Xiaomi 15 and loving it. Battery, processor and fingerprint scanner the main reason for the upgrade",overall,Subjective,overall,overall,positive,0.9773,N/A,,N/A,,N/A,,,positive,0.9773,positive,0.9773,positive,0.9773
I also have xiaomi 15 and it's great using since one month only issue I have is heating issue but it's not that problematic . Anyways it's a good looking smartphone and tiny monster in your pocket and which can click really good clicks at random click.,overall,Subjective,overall,overall,positive,0.9399,N/A,,N/A,,N/A,,,positive,0.9399,positive,0.9399,positive,0.9399
"@ouijr im not sure about your place, but here i use data most of the time. The only time i use wifi when i need to open website that need my workplace wifi. Back to your question, i dont feel any difference between data or wifi. Even my previous phones I don't think i experienced this problem. For xiaomi 15, the one and only problem is like i mentioned before, overheat when opening camera for too long (even less than 1 minute)",overall,Subjective,overall,overall,neutral,0.6109,N/A,,N/A,,N/A,,,neutral,0.6109,neutral,0.6109,neutral,0.6109
Have any of you faced the issue that Netflix suports only Widevine L3 on Xiaomi 15 and not Widevine L1 even after having such great hardware ?,overall,Subjective,overall,overall,neutral,0.6043,N/A,,N/A,,N/A,,,neutral,0.6043,neutral,0.6043,neutral,0.6043
Xiaomi 15 vs oppo find x8 which is better overall phone?,overall,Subjective,overall,overall,neutral,0.6982,N/A,,N/A,,N/A,,,neutral,0.6982,neutral,0.6982,neutral,0.6982
hey so I am planning to buy xiaomi 15 over iphone 15 as a college student should i go with this decision and what are the things that I should keep in mind ?,overall,Subjective,overall,overall,neutral,0.896,N/A,,N/A,,N/A,,,neutral,0.896,neutral,0.896,neutral,0.896
"It's either gonna be this Xiaomi 15, or the Oneplus 13T (or mini, the name hasn't been revealed yet), or the Vivo x200 Mini. I'd love a more compact phone, so anyone of these mini flagship will be my go to, depending on price and availability.",overall,Subjective,overall,overall,positive,0.7088,N/A,,N/A,,N/A,,,positive,0.7088,positive,0.7088,positive,0.7088
Which one i should buy between iphone 16 vs xiaomi 15,overall,Subjective,overall,overall,neutral,0.8894,N/A,,N/A,,N/A,,,neutral,0.8894,neutral,0.8894,neutral,0.8894
S25 vs xiaomi 15. Which one to buy? Xiaomi 15 is cheaper 17000 rs in india,overall,Subjective,overall,overall,neutral,0.7987,N/A,,N/A,,N/A,,,neutral,0.7987,neutral,0.7987,neutral,0.7987
"Anyone who wants to sell Xiaomi 15 or Pixel 9 , then please let me know. I am interested to buy",overall,Subjective,overall,overall,positive,0.6451,N/A,,N/A,,N/A,,,positive,0.6451,positive,0.6451,positive,0.6451
"​@ThisArnabThere you are, a Samsung& Apple meat rider. I have a Xiaomi 15, and in some cases, it's better then the S25 Ultra, and the 16 Pro max",overall,Subjective,overall,overall,positive,0.7705,N/A,,N/A,,N/A,,,positive,0.7705,positive,0.7705,positive,0.7705
Is Xiaomi 15 discontinued in India?! I want to buy it but I don't see it in stock since long time on Amazon or Mi store! Can anyone please confirm. Thanks!,overall,Subjective,overall,overall,negative,0.674,N/A,,N/A,,N/A,,,negative,0.674,negative,0.674,negative,0.674
"I wonder if I should buy this Xiaomi 15 or the Xperia 10 VII. The Xiaomi beats Xperia in every way, but it's also the more expensive one (200-300€ difference). The Xperia 10 VII seems to have the most stock OS possible, but I'm not sure which one of those 2 compact phones will be more convenient to use (software, features, widgets...)?",overall,Subjective,overall,overall,neutral,0.586,N/A,,N/A,,N/A,,,neutral,0.586,neutral,0.586,neutral,0.586
"watching this from my Xiaomi 15, amazing phone !! i got the black one.",overall,Subjective,overall,overall,positive,0.984,N/A,,N/A,,N/A,,,positive,0.984,positive,0.984,positive,0.984
Bro please tell me if should i buy xiaomi 15 in 42K second hand ?😢,overall,Subjective,overall,overall,neutral,0.6008,N/A,,N/A,,N/A,,,neutral,0.6008,neutral,0.6008,neutral,0.6008
The bug with super processed audio when using external mics for video recording is gone with the Xiaomi 15? The 14 still suffers massively from it.,overall,Subjective,overall,overall,negative,0.6784,N/A,,N/A,,N/A,,,negative,0.6784,negative,0.6784,negative,0.6784
​@fixme.96s25 ultra will not be better than xiaomi 15 pro,overall,Subjective,overall,overall,negative,0.7956,N/A,,N/A,,N/A,,,negative,0.7956,negative,0.7956,negative,0.7956
Xiaomi 17 pro max is a downgrade than Xiaomi 15 ultra,overall,Subjective,overall,overall,negative,0.5502,N/A,,N/A,,N/A,,,negative,0.5502,negative,0.5502,negative,0.5502
